sex,cabin,CabinReduced,cabin_map,cabin_map_reduced,sex_map
female,,,6,5,0
female,,,6,5,0
female,,,6,5,0
male,,,6,5,1
female,,,6,5,0
male,,,6,5,1
female,E36,E,64,2,0
female,,,6,5,0
male,C68,C,157,1,1
male,E24,E,30,2,1
male,,,6,5,1
female,,,6,5,0
female,C22 C26,C,1,1,0
male,,,6,5,1
male,,,6,5,1
male,,,6,5,1
male,,,6,5,1
male,,,6,5,1
female,,,6,5,0
male,,,6,5,1
female,,,6,5,0
female,,,6,5,0
male,,,6,5,1
male,,,6,5,1
male,,,6,5,1
male,D38,D,176,3,1
female,,,6,5,0
female,,,6,5,0
male,,,6,5,1
male,B50,B,149,0,1
male,A24,A,134,4,1
male,,,6,5,1
male,,,6,5,1
male,C111,C,62,1,1
male,,,6,5,1
male,,,6,5,1
male,,,6,5,1
male,,,6,5,1
male,,,6,5,1
female,,,6,5,0
male,,,6,5,1
male,F,F,177,7,1
male,,,6,5,1
female,,,6,5,0
male,,,6,5,1
male,,,6,5,1
male,,,6,5,1
male,,,6,5,1
male,C6,C,12,1,1
male,C87,C,150,1,1
female,E8,E,35,2,0
female,,,6,5,0
male,,,6,5,1
male,,,6,5,1
female,B45,B,146,0,0
male,,,6,5,1
male,,,6,5,1
male,C93,C,94,1,1
male,,,6,5,1
male,,,6,5,1
male,,,6,5,1
female,,,6,5,0
female,,,6,5,0
female,,,6,5,0
male,,,6,5,1
male,,,6,5,1
female,D28,D,106,3,0
male,,,6,5,1
male,,,6,5,1
male,,,6,5,1
male,,,6,5,1
female,,,6,5,0
male,,,6,5,1
female,D36,D,119,3,0
male,,,6,5,1
male,,,6,5,1
male,,,6,5,1
female,,,6,5,0
female,,,6,5,0
female,C125,C,79,1,0
male,C6,C,12,1,1
female,B35,B,8,0,0
male,T,T,19,6,1
female,,,6,5,0
female,,,6,5,0
female,B73,B,129,0,0
male,,,6,5,1
female,,,6,5,0
male,,,6,5,1
female,B57 B59 B63 B66,B,138,0,0
male,,,6,5,1
female,,,6,5,0
male,,,6,5,1
male,,,6,5,1
male,,,6,5,1
female,,,6,5,0
male,A26,A,141,4,1
male,,,6,5,1
male,,,6,5,1
male,A18,A,55,4,1
male,,,6,5,1
female,,,6,5,0
male,,,6,5,1
male,,,6,5,1
female,,,6,5,0
female,,,6,5,0
female,,,6,5,0
male,,,6,5,1
female,,,6,5,0
male,,,6,5,1
male,B96 B98,B,32,0,1
male,,,6,5,1
male,,,6,5,1
male,,,6,5,1
male,,,6,5,1
male,,,6,5,1
female,,,6,5,0
female,G6,G,185,8,0
female,,,6,5,0
male,,,6,5,1
male,,,6,5,1
male,,,6,5,1
female,,,6,5,0
male,,,6,5,1
male,,,6,5,1
male,,,6,5,1
female,,,6,5,0
male,,,6,5,1
male,C78,C,116,1,1
female,C101,C,5,1,0
female,D9,D,108,3,0
male,,,6,5,1
male,,,6,5,1
male,D33,D,83,3,1
male,C128,C,167,1,1
male,,,6,5,1
male,,,6,5,1
female,E50,E,82,2,0
female,,,6,5,0
male,,,6,5,1
female,,,6,5,0
male,,,6,5,1
male,,,6,5,1
female,B26,B,46,0,0
male,B69,B,88,0,1
male,,,6,5,1
female,E121,E,182,2,0
male,,,6,5,1
female,C123,C,70,1,0
male,,,6,5,1
male,,,6,5,1
male,B94,B,85,0,1
male,,,6,5,1
male,,,6,5,1
male,,,6,5,1
female,,,6,5,0
male,,,6,5,1
male,,,6,5,1
female,,,6,5,0
male,,,6,5,1
female,,,6,5,0
female,A34,A,51,4,0
male,,,6,5,1
male,D,D,169,3,1
male,E50,E,82,2,1
male,,,6,5,1
male,C39,C,91,1,1
male,,,6,5,1
male,,,6,5,1
male,,,6,5,1
female,,,6,5,0
male,,,6,5,1
male,,,6,5,1
male,D43,D,125,3,1
female,,,6,5,0
male,,,6,5,1
male,,,6,5,1
male,,,6,5,1
male,,,6,5,1
male,E31,E,34,2,1
female,B5,B,0,0,0
male,,,6,5,1
female,D17,D,104,3,0
male,,,6,5,1
female,F33,F,172,7,0
female,,,6,5,0
female,,,6,5,0
female,,,6,5,0
female,,,6,5,0
male,,,6,5,1
male,,,6,5,1
male,,,6,5,1
male,E44,E,140,2,1
female,D7,D,3,3,0
male,,,6,5,1
male,A21,A,25,4,1
male,,,6,5,1
female,,,6,5,0
male,D34,D,65,3,1
female,,,6,5,0
female,A29,A,59,4,0
male,,,6,5,1
female,F33,F,172,7,0
female,,,6,5,0
male,D35,D,13,3,1
female,A11,A,136,4,0
female,B51 B53 B55,B,31,0,0
male,,,6,5,1
male,,,6,5,1
male,,,6,5,1
male,,,6,5,1
male,D46,D,161,3,1
male,E60,E,98,2,1
male,,,6,5,1
male,,,6,5,1
male,,,6,5,1
female,,,6,5,0
female,,,6,5,0
female,G6,G,185,8,0
male,C30,C,117,1,1
female,,,6,5,0
male,D26,D,163,3,1
male,,,6,5,1
male,,,6,5,1
female,E68,E,154,2,0
male,,,6,5,1
female,C93,C,94,1,0
male,,,6,5,1
female,,,6,5,0
male,,,6,5,1
female,B35,B,8,0,0
male,,,6,5,1
male,,,6,5,1
male,A9,A,38,4,1
female,B71,B,49,0,0
male,,,6,5,1
female,F33,F,172,7,0
male,,,6,5,1
female,,,6,5,0
male,,,6,5,1
female,D37,D,162,3,0
male,,,6,5,1
male,,,6,5,1
male,,,6,5,1
female,,,6,5,0
female,C101,C,5,1,0
female,C78,C,116,1,0
male,,,6,5,1
male,,,6,5,1
female,,,6,5,0
male,,,6,5,1
male,,,6,5,1
male,F2,F,175,7,1
male,C55 C57,C,152,1,1
male,,,6,5,1
male,C89,C,39,1,1
male,,,6,5,1
male,C124,C,103,1,1
female,G6,G,185,8,0
female,,,6,5,0
male,,,6,5,1
female,C23 C25 C27,C,63,1,0
female,C126,C,156,1,0
female,E49,E,42,2,0
female,,,6,5,0
male,,,6,5,1
male,,,6,5,1
female,,,6,5,0
male,,,6,5,1
male,,,6,5,1
male,,,6,5,1
female,,,6,5,0
male,,,6,5,1
male,,,6,5,1
male,,,6,5,1
male,F E46,F,180,7,1
